Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Price,Collection Media Condition,Collection Sleeve Condition,Collection Notes
ZZ-163,Master P / Sleepy Brown Featuring OutKast,Them Jeans / I Can't Wait,"Not On Label (Master P), Not On Label (Sleepy Brown), Not On Label (OutKast)","12"", Unofficial",,0,4727802,Uncategorized,2026-08-11 20:16:51,,,,
NUKP 0401,DJ Kim,Jetlag,Nukleuz,"12""",,2002,85915,Uncategorized,2026-08-11 16:09:37,20,,,
NU-312,Koolmatch,"I Like It, I Love It",Numuzik Inc.,"12"", Maxi",,1997,1739308,Uncategorized,2026-08-12 02:31:50,,,,
ONE054,Lopaski,Back In Time,One Records (10),"12""",,2024,30822462,Uncategorized,2026-07-30 13:07:44,,,,
ONITOR 1:1,Solovyev,Poprad,Onitor,LP,,1999,340677,Uncategorized,2026-08-12 00:23:19,,,,
O300F006,Verrina & Ventura,Il Pavone Di Oz ,Only 300 Family,"2x12"", EP",,2014,6443910,Uncategorized,2026-08-03 19:50:28,,,,
ONYSIA 007,Felipe Valenzuela & Dorian Paic,Varia EP,Onysia,"12"", EP",,2024,30858903,Uncategorized,2026-07-31 16:15:20,,,,
ONYSIA 007,Felipe Valenzuela & Dorian Paic,Varia EP,Onysia,"12"", EP",,2024,30858903,Uncategorized,2026-07-31 16:30:45,,,,
OV 1012,Lovely Boy Featuring Maggie D.,What I Need,Over Records (2),"12""",,1993,1370797,Uncategorized,2026-08-11 14:10:49,10,,,
PR019,Kennedy (40),Other Phases Of Sleep,Pacific Rhythm,"12""",,2024,29726779,Uncategorized,2026-08-03 18:59:47,,,,
PRTR36,Terry Francis,El Tel Collection,Pariter,"12"", RE, RM",,2025,35576308,Uncategorized,2026-08-03 18:53:02,,,,
Parsatik003,Difid,Javelin Throw,Parsatik,"12""",,2018,12552660,Uncategorized,2026-07-30 13:47:29,,,,
Patch 02,Frens & Pirson,2000 & More EP,Patchwork (4),"12"", EP",,1999,371890,Uncategorized,2026-08-11 15:31:03,10,,,
"PRD1006, PRD-1006, FTR1002, FTR-1002",Space Garage,Space Garage,"Periodica Records, Periodica Records, Futuribile, Futuribile","7"", Single",,2018,10865137,Uncategorized,2026-08-12 00:13:46,,,,
PNK10,Que Sakamoto + Noriyuki Takagi feat. Hoodoo Fushimi,琵琶歌 Biwa Uta,Phonik,"12""",,2026,36908970,Uncategorized,2026-07-31 20:34:52,,,,
PB3010,Urban Dwellers,Loverman,Pitch Black,"12""",,2002,57125,Uncategorized,2026-08-08 17:39:12,5,,,
plat103x,Jan Johnston,Calling Your Name (Part Two),Platipus,"12""",,2003,133325,Uncategorized,2026-08-12 02:55:46,,,,
1998,Various,"Andalusische Nächte - Querschnitt Aus Dem Musical ""Musterkollektion Für Granada""",Polyhymnia,"LP, Album",,0,27550992,Uncategorized,2026-08-12 02:58:35,,,,
SPRO 30225,Thunderpuss Presents: Thea Austin,I Just Want To Be Your Everything,Priority Records,"12"", Promo",,1997,751630,Uncategorized,2026-08-05 16:04:21,10,,,10
QAL-646-DJ,Paradisio,Bailando,"Quality Records (2), Arcade Music Company","12"", Promo",,1996,810358,Uncategorized,2026-08-05 17:11:08,,,,
QAL-646-DJ,Paradisio,Bailando,"Quality Records (2), Arcade Music Company","12"", Promo",,1996,810358,Uncategorized,2026-08-05 17:14:25,30,,,
RV-08,Ricardo Villalobos,N-DRA,Rawax,"12"", RE, RM",,2026,36202891,Uncategorized,2026-07-29 18:23:59,,,,
07863 62658-1,SWV,Downtown / Right Here (Human Nature),RCA,"12"", Single, RE",,2002,303284,Uncategorized,2026-08-07 17:21:03,40,,,
